id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9874608,Amazing family house Amsterdam next to Vondelpark,15074907,C,,De Baarsjes - Oud-West,52.36245254,4.873641671,Entire home/apt,300,2,1,10/08/2016,0.13,1,300
13661461,HUGE TERRACE APT. IN AMSTERDAM NEXT TO VONDELPARK!,14183886,Luis,,De Baarsjes - Oud-West,52.36073162,4.858175131,Entire home/apt,140,3,2,05/09/2016,0.27,20,47
9252010,Cosy Canal Studio,3320018,Laurens,,De Baarsjes - Oud-West,52.36233321,4.86633891,Private room,65,2,1,23/11/2015,0.06,1,0
6070927,Lovely apt. on a great location,3660679,Jaap,,De Baarsjes - Oud-West,52.36896912,4.863060387,Entire home/apt,110,5,6,26/02/2017,0.68,1,29
13863250,"Quiet apartment in ""Oud-West"", near the Vondelpark",32960785,Marten,,De Baarsjes - Oud-West,52.36036819,4.86261546,Entire home/apt,120,2,3,23/10/2016,0.41,1,0
6143603,"Renovated house, sunny garden. 10 min from center",31868622,Evita,,De Baarsjes - Oud-West,52.37007814,4.848620548,Entire home/apt,99,5,5,27/02/2017,0.45,1,123
2005996,"Vondel House, Guest Room 2",7261788,Wilbert,,De Baarsjes - Oud-West,52.36030013,4.866272464,Private room,74,2,206,26/03/2017,5.86,2,290
5950879,Large modern apartment - rooftop terrace,5769652,Robin,,De Baarsjes - Oud-West,52.36729952,4.850915376,Entire home/apt,215,2,23,01/01/2017,0.99,1,244
10997159,Central Location - balcony on canal,16430570,Caroline,,De Baarsjes - Oud-West,52.37281591,4.874319305,Entire home/apt,129,5,1,08/08/2016,0.13,1,0
13323689,LIVIA’S HIDEAWAY 5: VONDEL A,13405827,Capital Apartments,,De Baarsjes - Oud-West,52.36118241,4.85698386,Entire home/apt,235,1,0,,,24,186
13057640,Amazing 2p apt near the Leidse square and Jordaan!,12147206,Pieter,,De Baarsjes - Oud-West,52.36722857,4.875445833,Entire home/apt,180,2,13,19/03/2017,1.23,1,12
8659596,2 br. apartment in nieuw-west,2694878,Ricarda,,De Baarsjes - Oud-West,52.36717581,4.864843635,Entire home/apt,200,1,1,18/10/2015,0.06,1,0
2469007,"Big apartment panoramic rooftop, no cleaning costs",12627558,Tom,,De Baarsjes - Oud-West,52.37018082,4.8668774,Entire home/apt,169,3,31,23/03/2017,0.86,1,351
8375536,Welcome in my place and enjoy it!,27610214,Gerard,,De Baarsjes - Oud-West,52.36946369,4.858968588,Entire home/apt,119,2,11,03/01/2017,0.65,1,10
6830664,Beautiful apartment near vondelpark,30593386,Casper,,De Baarsjes - Oud-West,52.35973384,4.85765332,Entire home/apt,111,1,0,,,1,0
8233604,Double size family home near centre,859417,Joyce,,De Baarsjes - Oud-West,52.36944078,4.859282424,Entire home/apt,189,2,8,01/01/2017,0.43,1,0
14562797,Luxurious house with king size and sunny garden,7542798,Emeline,,De Baarsjes - Oud-West,52.37313012,4.860679432,Entire home/apt,118,2,0,,,1,26
7744120,Bright apartment @ trendy Oud West,11730229,Ingrid,,De Baarsjes - Oud-West,52.36292409,4.864188335,Entire home/apt,112,3,20,24/09/2016,1.01,1,219
11171087,Light & Stylish 2 room apartment,8795077,Jan,,De Baarsjes - Oud-West,52.36734818,4.851977517,Entire home/apt,99,2,3,16/03/2016,0.22,2,0
15416919,family loft in centre on canal,10605481,Mirjam,,De Baarsjes - Oud-West,52.36943678,4.873592384,Entire home/apt,250,4,2,02/01/2017,0.47,1,64
9223760,Cozy empty room with balcony near Centrum,45344564,Marcel,,De Baarsjes - Oud-West,52.36672943,4.865582616,Private room,69,1,17,29/01/2017,1.01,2,0
1326658,"Central light apartment, 2-4 p.",6469405,Fidel,,De Baarsjes - Oud-West,52.36701937,4.875875921,Private room,100,3,63,06/03/2017,1.39,1,55
13138677,Spacious & supurb family house in Amsterdam West,23156884,Dirk.Jacob,,De Baarsjes - Oud-West,52.3674449,4.854906051,Entire home/apt,150,2,3,12/08/2016,0.37,1,0
11773527,Modern Apt + Centre+ 2 Bikes,4545258,Kim,,De Baarsjes - Oud-West,52.37029733,4.849237373,Entire home/apt,85,2,6,14/09/2016,0.47,1,292
11517521,Park view room close to city centre,19057802,Hanna,,De Baarsjes - Oud-West,52.36681597,4.850861058,Private room,90,1,3,26/03/2017,0.24,1,8
2633582,Your second home in Amsterdam ,3721901,René,,De Baarsjes - Oud-West,52.36164262,4.873643099,Entire home/apt,97,2,135,19/03/2017,3.7,2,7
11614207,cozy bedroom in a canal view apt,45024401,Carla,,De Baarsjes - Oud-West,52.36496185,4.856146035,Private room,73,1,11,12/03/2017,0.88,1,321
3001581,Spacious apartment in the center!,15298885,Stefan & Caroline,,De Baarsjes - Oud-West,52.36341042,4.874024586,Entire home/apt,99,3,8,14/11/2016,0.25,1,91
17803888,UNIQUE city center barge,118946082,Cleo,,De Baarsjes - Oud-West,52.37192376,4.87416627,Entire home/apt,120,3,0,,,7,50
14326318,Modern apartment near vondelpark,87246571,Steven,,De Baarsjes - Oud-West,52.36291837,4.853864683,Private room,65,2,2,15/11/2016,0.26,1,17
15368844,Charming + Best Location ever!,86982116,Lizzy,,De Baarsjes - Oud-West,52.36364481,4.875892859,Entire home/apt,120,3,6,15/01/2017,1.29,1,239
12963180,Beautiful apartment near to the famous Vondelpark!,9275200,Emma,,De Baarsjes - Oud-West,52.36153293,4.861432971,Entire home/apt,120,2,1,02/01/2017,0.33,1,0
3814846,Cosy & Hip Appartment in Oud-West,4838365,Serge,,De Baarsjes - Oud-West,52.36581621,4.867227421,Entire home/apt,100,1,25,19/11/2016,0.79,1,0
6242853,Modern cosy place nearby Vondelpark,7773805,Marc En Madeleine,,De Baarsjes - Oud-West,52.36196136,4.853509647,Entire home/apt,99,6,8,15/10/2016,0.35,1,2
16141651,"Central, Bright and Spacious Apartment",24294002,Richard,,De Baarsjes - Oud-West,52.36206586,4.864055207,Entire home/apt,120,2,1,02/01/2017,0.33,1,283
7781948,"Lovely apartment on canal, 5mins from centre",11172189,David & Caroline,,De Baarsjes - Oud-West,52.37218719,4.866410369,Entire home/apt,100,2,4,25/09/2016,0.21,1,1
9216119,The Market,7594884,Duco & Lindy,,De Baarsjes - Oud-West,52.36633229,4.865934716,Entire home/apt,99,4,13,01/01/2017,0.78,28,92
4557044,Private rooms near centre & musea!,23623590,Annemiek & Eric,,De Baarsjes - Oud-West,52.37188901,4.862749874,Private room,90,2,46,13/11/2016,1.89,1,42
12604401,Spacious room close to Vondelpark,31661093,Graham,,De Baarsjes - Oud-West,52.35986603,4.85869206,Private room,49,2,1,13/05/2016,0.09,1,0
